EXPTIME,TOTCORR,USTHRSH,THRSHLD,THRSBIN,WAVEBNS,GAIAMAG,2MASSMAG,TARGTEFF,ELAPSED,DATE-MID,MJD-OBS,MJD-minus-offset,DRPTAGL2,USTHRSH_1,READSPED,NOTJUNK,EMSCCT48,EMSCCT45,EMSCCT56,EMSCCT67,EMSCCT78,SNRSC452,SNRSC548,SNRSC652,SNRSC747,SNRSC852,TOTCORR_1,TOTCORR_2,TOTCORR_3,TOTCORR_4,TOTCORR_SUM,EMZP_1,EMZP_2,EMZP_3,EMZP_4,EMZP_SUM,KPFEra,ZP_452,ZP_548,ZP_652,ZP_747,ZP_852,ZP-etc-452,SD-ZP-etc-452,ZP-etc-548,SD-ZP-etc-548,ZP-etc-652,SD-ZP-etc-652,ZP-etc-747,SD-ZP-etc-747,ZP-etc-852,SD-ZP-etc-852,ZP-etc-EM1,SD-ZP-etc-EM1,ZP-etc-EM2,SD-ZP-etc-EM2,ZP-etc-EM3,SD-ZP-etc-EM3,ZP-etc-EM4,SD-ZP-etc-EM4,ZP-etc-EMSUM,SD-ZP-etc-EMSUM,VMAG,KPF-etc-452,SD-KPF-etc-452,KPF-etc-548,SD-KPF-etc-548,KPF-etc-652,SD-KPF-etc-652,KPF-etc-747,SD-KPF-etc-747,KPF-etc-852,SD-KPF-etc-852
53.0,,,,,,5.6,4.91,5810.0,53.017,2023-11-14 11:47:50.029000,60262.491242,-321.5087580000036,v2.9.1,,regular,True,97455036.0,19259026.0,30855468.0,28592508.0,18748032.0,115.509,208.692,238.448,243.417,194.973,,,,,,,,,,,1.0,11.602389446189058,12.886839331688321,13.176278746540547,13.221064854226999,12.73918269658285,89157.93172437584,6.68233643339979,295319.08130277274,6.780783940342494,413120.92103578115,7.26590676248049,468940.17687518086,7.914356911297642,326368.7513333903,8.585381963095811,100730243.1982896,,160533399.2951766,,151305545.8285823,,109265633.64920199,,513453628.42682177,,5.765,103446.71808902531,7.7532728702020615,198729.24971547362,4.562997077609914,250326.36520556887,4.402701333096538,261888.62026469296,4.419924148093985,147276.54209035222,3.8742231383482006
45.0,7.4937e+07 1.5837e+08 1.6187e+08 1.2238e+08,Yes,2502214000.0,604.375,498.12 604.38 710.62 816.88,5.23,3.98,4746.0,45.001,2024-10-22 10:15:26.967000,60605.427132,21.427131999997073,v2.12.0rc1,Yes,regular,True,310697011.0,44806768.0,94560739.0,96630919.0,74698583.0,251.979,507.833,631.343,673.071,562.174,74937000.0,158370000.0,161870000.0,122380000.0,517557000.0,20.783709472366517,21.596151007363193,21.619884632353585,21.316244837713217,22.881864182634086,2.0,13.10379045589498,14.625573309438037,15.098295563566644,15.237273110097739,14.84632249575689,106406.21635289186,1.6758621967014127,352450.8190183691,1.3666480516931785,493042.3267279642,1.2369537598493585,559660.2450514415,1.235386071367839,389507.28548259183,1.2324635195958065,120217280.09765193,1.6042446334607994,191589814.6905705,1.2097607797598693,180576762.30758554,1.115566580018444,130403907.1919622,1.0655655106386843,612785164.6722809,1.183995510972281,5.550000000000001,90004.96837196105,1.4175480454039888,217298.61917847177,0.842587727169954,329924.003728704,0.8277194771189361,375806.1011813234,0.829549047014741,234647.42645012762,0.7424620895306651
36.0,,,,,,4.77,3.11,4000.0,36.0,2023-06-05 11:51:06.442000,60100.493611,-483.50638900000195,v2.8.2,,null,True,,,,,,250.7,574.1,768.6,842.9,701.5,,,,,,,,,,,1.0,12.875015417872863,14.674181482419877,15.307745648723431,15.508124017265512,15.109382124903675,130031.13000830484,2.0688960421518567,430703.95546552615,1.3067838738147042,602510.3897477207,1.0199145327167716,683919.1973842414,0.9626151372481072,475987.9094826246,0.967254080798502,146908604.71703765,,234127675.58311495,,220669442.64068154,,159356924.72546148,,748839213.9647424,,5.395,68176.04092894182,1.0847336421552454,201290.23171442037,0.6107276829545714,413697.6228856355,0.700296998875177,568698.1600669869,0.8004417181143488,386815.45654839335,0.7860469171770569
30.0,,,,,,3.47,2.23,5002.0,30.02,2023-10-22 15:39:10.988000,60239.652033,-344.3479670000015,v2.10.3,,regular,True,1253350745.0,181386902.0,379027956.0,398679350.0,294256537.0,390.444,791.44,993.972,1071.551,894.158,,,,,,,,,,,1.0,12.734990630003622,14.269286843547611,14.764067616088983,14.927261092826816,14.534268195800394,359050.49008252844,2.355255448454842,1189288.0288012864,1.8986768500811813,1663691.2307454194,1.683931520500644,1888482.5732267173,1.644702261912575,1314329.054605457,1.643900681462052,405653680.911825,,646488703.5483875,,609326947.4879968,,440026799.0985489,,2067743983.6897855,,3.74,354301.5305689502,2.3241038052241763,806080.7548463003,1.286893360950796,1163261.113845924,1.1774132242676862,1287993.0519178954,1.1217286915163542,774077.5408078133,0.9681796140620372
15.0,,,,,,4.09,3.21,5500.0,15.0,2023-06-03 09:35:11.061000,60098.399338,-485.6006619999971,v2.8.2,,null,True,,,,,,64.8,125.3,138.3,137.4,102.5,,,,,,,,,,,1.0,10.207646881713764,11.639527207331547,11.85388275290735,11.839705515978455,11.203391179319663,101352.88024921637,,335712.5821976114,,469627.26061912376,,533081.428333339,,371009.2005413324,,114508042.96259229,,182491025.53278813,,172000993.86349908,,124210897.09480758,,583683393.1539204,,4.292,117583.15362426515,,239187.31388985823,,316514.5440960882,,337099.73071454116,,193305.63645239288,
126.0,1.9995e+07 5.8432e+07 9.4548e+07 1.0954e+08,No,640697078.421322,498.125,498.12 604.38 710.62 816.88,6.55,4.2,3589.0,126.035,2025-06-29 05:52:38.813000,60855.244164,271.24416400000337,v2.10.3,No,regular,True,169758713.0,11926837.0,34749989.0,56218265.0,66863621.0,103.562,284.363,468.466,604.902,546.696,19995000.0,58432000.0,94548000.0,109540000.0,282515000.0,19.551377158379943,20.715700516001558,21.23820450352335,21.39800547868801,22.426677415774254,3.0,11.375075782123808,13.568439073915439,14.65246401942742,15.207498739338877,14.98780311875202,88355.99087329175,8.238253351250757,292662.80125207093,3.6192730627221095,409405.059343966,1.8655077276424399,464722.2427298118,1.2700576025208263,323433.1916007957,1.0821632809404662,99824213.91521853,4.992458810463543,159089463.9282572,2.7226427972387937,149944611.40750793,1.5859099230814817,108282831.85525978,0.9885232048133995,508835313.1316007,1.8010913159711899,7.475,31313.00088803826,2.919603209176126,95825.95143532332,1.1850507931169083,246578.1279706911,1.123565507309626,451898.7828469573,1.2350118672033774,309517.7970164743,1.0356042713829778
75.0,1.6794e+08 2.7071e+08 2.4386e+08 1.654e+08,No,640697078.421322,498.125,498.12 604.38 710.62 816.88,4.87,3.96,5857.0,75.031,2025-06-29 06:15:49.393000,60855.26055,271.26054999999906,v2.10.3,No,regular,True,512397439.0,101123690.0,162770027.0,146692873.0,101810848.0,375.9,686.676,788.459,807.433,650.834,167940000.0,270710000.0,243860000.0,165400000.0,847910000.0,20.745232213645266,21.26360758867332,21.150198265184002,20.72868560456207,22.503221234610404,3.0,13.05770847008981,14.366106184726583,14.666242415852274,14.717879317356857,14.249698004967513,247164.20237211153,1.749205842288601,818685.4917307206,1.7362543901189595,1145256.523521668,1.842232944616231,1299999.0302141875,1.9940224243835578,904761.5903863017,2.1359628255835386,279245040.0466979,1.6627667026717752,445031741.1303066,1.6439427473322248,419450225.3014254,1.720045211602663,302906905.3673968,1.831359766429243,1423399512.1993756,1.678715326154162,5.0280000000000005,299758.9561321913,2.1214241881004883,571733.8193952219,1.2125234463431067,715623.3622505278,1.1511350573416008,746599.633757591,1.1451827094854865,418759.0497201157,0.9886071342804852
30.0,,,,,,4.09,3.21,5600.0,30.02,2023-07-01 07:06:39.199000,60126.296113,-457.7038870000033,v2.8.2,,null,True,,,,,,396.3,723.2,824.2,832.9,671.1,,,,,,,,,,,1.0,13.387317224871792,14.693488950537379,14.97735991414369,15.000161173624885,14.531133057282304,202840.89767209836,1.2915385666653127,671872.7811714862,1.2846067876552187,939880.6909190731,1.383590295112334,1066873.6319044558,1.5378970270031438,742513.08001672,1.6486544186495522,229168763.31580138,,365225372.4329533,,344231322.3854828,,248587408.7190749,,1168145030.832046,,4.276,241413.0030454671,1.5371367781646335,481243.63391427265,0.9201278217644429,625972.8025985684,0.921489187986969,662921.987938049,0.9556012295149138,377628.6436988644,0.8384756427843006
30.0,,,,,,4.09,3.21,5600.0,30.016,2023-07-01 07:58:14.304000,60126.331931,-457.6680689999994,v2.8.2,,null,True,,,,,,365.1,670.6,772.7,789.1,641.8,,,,,,,,,,,1.0,13.20925602794948,14.52951460866485,14.837251424425988,14.882857080111314,14.43419542699827,202813.87023736522,1.5215071120518995,671783.2578162336,1.4938330991859485,939755.4569829078,1.5739576102019057,1066731.4768569001,1.7131327736315614,742414.1442299089,1.8023818766329747,229138227.837678,,365176708.1594779,,344185455.45378584,,248554285.81318295,,1167989381.9272048,,4.276,241385.0772798767,1.8108678237572842,481187.9654260675,1.0700095623401726,625900.392374054,1.0482947222975463,662845.3035680841,1.0645059586467767,377584.9610104793,0.9166747372793917
30.0,,,,,,4.09,3.21,5600.0,30.0,2023-07-01 08:06:27.077000,60126.337639,-457.6623610000024,v2.8.2,,null,True,,,,,,363.4,666.7,768.1,785.0,638.8,,,,,,,,,,,1.0,13.19912147806092,14.516849138828665,14.824285688755525,14.871545146927108,14.424021400533071,202705.76049843273,1.5349571094923589,671425.1643952228,1.5105555605568064,939254.5212382475,1.5920172313628098,1066162.856666678,1.7301519033902846,742018.4010826648,1.818380897639028,229016085.92518458,,364982051.06557626,,344001987.72699815,,248421794.18961516,,1167366786.3078408,,4.276,241273.35693140657,1.8270040952083029,480965.25701433455,1.082063619215172,625610.7066539107,1.060397371103474,662538.5186204356,1.075156831709904,377410.203217261,0.9248766649223249
