ObsID,OBJECT,NOTJUNK,READSPED,SNRCL452,SNRCL548,SNRCL652,SNRCL747,SNRCL852,SNRSC452,SNRSC548,SNRSC652,SNRSC747,SNRSC852,EXPTIME,ELAPSED,DATE-MID,MJD-OBS
KP.20251211.11905.22,autocal-lfc-all-eve,True,regular,17.664,282.481,359.253,398.923,464.603,52.306,901.63,1254.096,1766.76,2870.921,20.0,20.071,2025-12-11 03:18:35.254000,61020.137788
KP.20251211.33636.47,autocal-lfc-all-midnight,True,regular,21.879,279.019,358.07,400.409,458.298,68.723,905.743,1278.355,1817.088,2901.056,20.0,20.0,2025-12-11 09:20:46.477000,61020.389311
KP.20250507.67498.84,autocal-lfc-all-morn,False,regular,53.773,240.104,266.525,210.818,207.926,100.105,515.805,580.885,615.252,834.098,60.0,60.024,2025-05-07 18:45:28.856000,60802.781237
KP.20250507.67906.11,autocal-lfc-all-morn,False,regular,7.953,51.6,143.527,116.35,160.845,10.766,99.481,314.308,341.348,646.599,60.0,6.102,2025-05-07 18:51:49.160000,60802.785948
KP.20250506.12020.84,autocal-lfc-all-eve,True,regular,11.008,330.768,412.425,313.416,266.196,20.441,713.271,910.106,917.394,1062.941,60.0,60.018,2025-05-06 03:20:50.845000,60801.139128
KP.20231130.67188.25,autocal-lfc-all-morn,True,regular,-7.622,264.565,207.713,147.392,238.822,-14.8,630.626,657.053,639.973,675.978,60.0,60.022,2023-11-30 18:40:18.260000,60278.777638
KP.20251210.67418.64,autocal-lfc-all-morn,True,regular,30.579,274.668,359.768,398.488,459.813,95.346,877.159,1269.593,1801.516,2887.701,20.0,20.0,2025-12-10 18:43:48.651000,61019.780308
KP.20251207.11626.93,autocal-lfc-all-eve,True,regular,52.404,266.331,354.58,402.284,468.779,158.372,836.566,1218.864,1771.908,2909.608,20.0,20.078,2025-12-07 03:13:56.965000,61016.134568
KP.20251207.67686.96,autocal-lfc-all-morn,True,regular,26.478,284.139,357.227,396.917,454.043,81.579,902.45,1247.797,1795.97,2874.05,20.0,20.015,2025-12-07 18:48:16.973000,61016.783415
KP.20251207.67755.50,autocal-lfc-all-morn,True,regular,24.307,279.234,355.004,392.73,453.483,74.431,880.739,1244.466,1770.83,2867.926,20.0,20.015,2025-12-07 18:49:25.508000,61016.784206
KP.20241225.12202.26,autocal-lfc-all-eve,True,regular,204.857,534.519,363.238,507.132,1033.478,396.702,1357.702,1385.341,1360.66,1366.029,60.0,60.056,2024-12-25 03:23:52.288000,60669.141228
KP.20241126.11030.88,autocal-lfc-all-eve,True,regular,207.574,290.626,156.661,201.591,430.506,407.073,731.168,602.312,571.236,588.081,60.0,60.021,2024-11-26 03:04:20.889000,60640.12767
KP.20260122.11966.08,autocal-lfc-all-eve,True,regular,9.726,275.317,192.369,120.524,126.852,28.068,924.975,719.648,561.082,869.459,10.0,10.0,2026-01-22 03:19:31.084000,61062.138498
KP.20231025.11527.02,autocal-lfc-all-eve,True,regular,-7.171,275.181,217.794,152.587,231.629,-14.889,666.491,691.513,671.01,694.84,60.0,60.0,2023-10-25 03:12:37.059000,60242.133412
KP.20231024.11196.95,autocal-lfc-all-eve,True,regular,-6.302,244.702,198.986,144.654,237.944,-11.671,598.072,632.345,634.587,692.132,60.0,60.017,2023-10-24 03:07:06.961000,60241.129591
KP.20231024.11414.05,autocal-lfc-all-eve,True,regular,-6.597,250.01,202.915,146.661,232.693,-12.642,610.826,639.876,642.069,688.232,60.0,60.0,2023-10-24 03:10:44.081000,60241.132106
KP.20250814.11574.98,autocal-lfc-all-eve,True,regular,10.878,10.842,9.194,11.583,25.183,16.944,17.213,15.888,29.011,97.098,60.0,60.019,2025-08-14 03:13:24.993000,60901.133966
KP.20250814.11927.69,autocal-lfc-all-eve,True,regular,10.592,10.727,9.235,9.13,9.495,16.861,16.96,15.44,15.099,15.359,60.0,60.0,2025-08-14 03:19:17.699000,60901.138051
KP.20250127.12989.15,autocal-lfc-all-eve,True,regular,181.72,535.451,369.418,512.19,1051.64,350.051,1363.717,1401.691,1378.837,1421.352,60.0,60.0,2025-01-27 03:36:59.164000,60702.150335
KP.20250127.68318.29,autocal-lfc-all-morn,True,regular,187.107,605.417,410.85,552.012,1074.838,361.979,1521.857,1558.065,1530.602,1567.476,60.0,60.022,2025-01-27 18:59:08.304000,60702.790722
KP.20250813.67626.67,autocal-lfc-all-morn,True,regular,10.584,11.361,48.872,39.608,105.48,17.391,19.71,108.641,115.74,417.826,60.0,60.0,2025-08-13 18:47:36.687000,60900.782714
KP.20250813.67735.34,autocal-lfc-all-morn,True,regular,11.0,11.537,35.079,36.563,75.823,16.637,18.562,79.216,107.467,303.055,60.0,60.001,2025-08-13 18:49:25.355000,60900.783971
KP.20250813.67844.07,autocal-lfc-all-morn,True,regular,10.686,11.329,34.315,38.053,77.82,17.196,18.553,75.991,111.005,312.272,60.0,60.0,2025-08-13 18:51:14.081000,60900.785231
KP.20250308.35557.04,autocal-lfc-deep-stack,True,regular,15.361,90.747,190.052,246.363,591.715,21.141,235.751,723.235,654.668,784.519,60.0,60.0,2025-03-08 09:53:07.078000,60742.411539
KP.20250308.36263.85,autocal-lfc-deep-stack,True,regular,13.597,107.415,192.561,246.489,595.931,17.49,278.831,729.93,655.608,784.783,60.0,60.062,2025-03-08 10:04:53.878000,60742.419721
KP.20250308.36589.37,autocal-lfc-deep-stack,True,regular,14.936,86.753,188.314,245.753,596.123,21.044,223.331,716.6,655.189,785.297,60.0,60.0,2025-03-08 10:10:19.402000,60742.423487
KP.20250308.37023.47,autocal-lfc-deep-stack,True,regular,15.261,91.145,191.948,246.128,597.338,19.751,235.588,729.599,656.676,783.472,60.0,60.0,2025-03-08 10:17:33.484000,60742.42851
KP.20250308.37348.97,autocal-lfc-deep-stack,True,regular,15.065,91.07,191.481,245.672,592.688,19.783,235.912,727.449,654.103,784.457,60.0,60.022,2025-03-08 10:22:58.985000,60742.432276
KP.20250308.37457.38,autocal-lfc-deep-stack,True,regular,14.857,92.502,191.268,246.821,595.11,21.232,238.751,725.582,652.456,785.441,60.0,60.0,2025-03-08 10:24:47.393000,60742.433534
KP.20240316.11368.86,autocal-lfc-all-eve,True,regular,6.829,318.313,243.853,165.901,249.539,14.059,705.367,735.509,700.024,709.791,60.0,60.023,2024-03-16 03:09:58.871000,60385.131585
KP.20221215.40928.22,LFC_all,,,,,,,,,,,,,0.2,0.2,2022-12-15 11:22:08.425000,59928.473706
KP.20251130.67422.78,autocal-lfc-all-morn,True,regular,33.102,269.844,337.813,397.778,492.323,107.49,861.802,1213.723,2033.469,4304.635,20.0,20.077,2025-11-30 18:43:52.820000,61009.780358
KP.20251130.67560.49,autocal-lfc-all-morn,True,regular,26.468,280.106,336.826,398.325,490.146,86.554,891.009,1212.763,2039.787,4280.611,20.0,20.0,2025-11-30 18:46:10.495000,61009.781952
KP.20251129.11779.08,autocal-lfc-all-eve,True,regular,35.688,270.426,347.436,399.245,469.965,107.558,843.297,1181.235,1733.33,2886.48,20.0,20.0,2025-11-29 03:16:29.088000,61008.136331
KP.20251129.11916.46,autocal-lfc-all-eve,True,regular,31.284,269.972,349.542,395.987,467.735,93.482,838.379,1187.004,1722.436,2876.737,20.0,20.0,2025-11-29 03:18:46.471000,61008.137919
KP.20240201.48657.01,lfc-ccd-warmup-test,True,regular,7.808,304.251,198.108,192.18,407.551,16.734,785.826,760.172,657.205,624.847,30.0,30.0,2024-02-01 13:31:12.040000,60341.563157
KP.20251129.67623.21,autocal-lfc-all-morn,True,regular,27.394,275.02,351.308,396.899,467.704,83.457,862.416,1212.884,1751.263,2891.025,20.0,20.001,2025-11-29 18:47:13.216000,61008.782677
KP.20251129.67760.54,autocal-lfc-all-morn,True,regular,26.333,275.475,352.079,396.513,466.033,80.313,870.115,1218.138,1752.684,2879.876,20.0,20.016,2025-11-29 18:49:30.544000,61008.784265
KP.20251129.67884.48,autocal-lfc-all-morn,True,regular,26.104,277.294,353.154,396.963,464.637,79.01,873.171,1222.592,1753.533,2877.952,20.0,20.0,2025-11-29 18:51:34.487000,61008.785699
KP.20251129.67953.16,autocal-lfc-all-morn,True,regular,24.046,275.956,353.733,395.318,462.586,72.421,872.185,1218.618,1743.637,2873.223,20.0,20.0,2025-11-29 18:52:43.170000,61008.786496
KP.20250814.67947.64,autocal-lfc-all-morn,True,regular,10.365,11.24,30.066,36.079,77.76,16.997,19.141,67.266,105.016,310.529,60.0,60.0,2025-08-14 18:52:57.672000,60901.78643
KP.20250814.68273.55,autocal-lfc-all-morn,True,regular,10.529,10.925,39.871,36.486,77.34,16.804,18.805,86.888,106.375,308.7,60.0,60.024,2025-08-14 18:58:23.560000,60901.790202
KP.20250814.68382.28,autocal-lfc-all-morn,True,regular,10.448,11.203,28.86,33.157,85.685,16.928,18.216,63.529,95.537,342.496,60.0,60.021,2025-08-14 19:00:12.294000,60901.791459
KP.20251127.11715.16,autocal-lfc-all-eve,True,regular,64.783,257.897,345.434,401.969,477.009,193.433,793.193,1170.571,1725.557,2901.936,20.0,20.0,2025-11-27 03:15:25.172000,61006.135591
KP.20250203.34354.11,autocal-lfc-all-midnight,True,regular,200.605,491.981,341.724,486.994,1053.36,391.204,1248.679,1303.449,1318.147,1420.012,60.0,60.001,2025-02-03 09:33:04.116000,60709.397616
KP.20250201.11914.25,autocal-lfc-all-eve,True,regular,188.142,424.382,302.263,458.699,1057.809,365.395,1077.316,1137.946,1229.854,1485.066,60.0,60.023,2025-02-01 03:19:04.261000,60707.137896
KP.20250201.12240.23,autocal-lfc-all-eve,True,regular,225.105,439.54,312.413,466.283,1049.799,437.586,1110.285,1177.905,1256.661,1435.334,60.0,60.023,2025-02-01 03:24:30.244000,60707.141668
KP.20250201.12348.88,autocal-lfc-all-eve,True,regular,221.685,445.172,314.803,466.284,1045.095,431.31,1119.714,1189.562,1255.133,1420.148,60.0,60.073,2025-02-01 03:26:18.920000,60707.142925
KP.20250128.67668.99,autocal-lfc-all-morn,True,regular,197.103,552.972,380.313,536.898,1067.364,382.324,1416.915,1448.958,1445.061,1507.785,60.0,60.021,2025-01-28 18:48:18.997000,60703.783204
KP.20240808.11867.16,autocal-lfc-all-eve,True,regular,-4.258,414.617,296.827,197.267,328.146,-18.217,911.807,901.536,811.256,785.344,60.0,60.0,2024-08-08 03:18:17.169000,60530.137347
KP.20240808.12409.81,autocal-lfc-all-eve,True,regular,3.347,421.991,300.003,197.88,323.689,-13.338,929.535,912.692,813.348,776.184,60.0,60.023,2024-08-08 03:27:19.825000,60530.143633
KP.20221212.39571.65,LFC_all,,,,,,,,,,,,,0.2,0.2,2022-12-12 10:59:31.857000,59925.458
KP.20250120.12196.62,autocal-lfc-all-eve,True,regular,206.533,516.465,354.023,480.871,1020.725,395.696,1297.909,1333.996,1323.617,1378.15,60.0,60.0,2025-01-20 03:23:46.631000,60695.141165
KP.20250120.12413.99,autocal-lfc-all-eve,True,regular,198.22,610.852,414.199,558.146,1071.969,380.382,1537.307,1563.409,1536.203,1569.167,60.0,60.023,2025-01-20 03:27:23.997000,60695.143679
KP.20250118.11982.73,autocal-lfc-all-eve,True,regular,186.192,535.689,368.101,527.355,1077.066,363.023,1360.473,1379.048,1427.878,1580.176,60.0,60.0,2025-01-18 03:20:12.765000,60693.138687
KP.20250118.12091.16,autocal-lfc-all-eve,True,regular,198.01,536.977,371.671,529.759,1072.931,383.523,1361.721,1391.547,1436.235,1547.139,60.0,60.001,2025-01-18 03:22:01.172000,60693.139944
KP.20250118.12416.48,autocal-lfc-all-eve,True,regular,205.321,554.937,383.58,534.475,1066.897,398.431,1399.739,1440.775,1442.101,1502.375,60.0,60.0,2025-01-18 03:27:26.494000,60693.14371
KP.20250118.12850.42,autocal-lfc-all-eve,True,regular,198.235,563.871,386.926,536.556,1063.835,384.777,1423.416,1456.889,1444.144,1490.138,60.0,60.0,2025-01-18 03:34:40.430000,60693.148728
KP.20230710.09920.84,autocal-lfc-all-eve,True,regular,-6.4,349.3,442.2,556.9,968.9,-12.8,611.1,859.1,1169.0,2176.2,60.0,60.017,2023-07-10 02:45:50.848000,60135.11482
KP.20250115.11975.53,autocal-lfc-all-eve,True,regular,195.757,518.824,357.904,540.918,1089.217,381.52,1331.145,1351.761,1427.272,1613.397,60.0,60.024,2025-01-15 03:20:05.540000,60690.138605
KP.20250115.12627.21,autocal-lfc-all-eve,True,regular,215.381,542.468,376.763,547.607,1074.919,418.34,1383.177,1427.696,1439.45,1521.82,60.0,60.02,2025-01-15 03:30:57.221000,60690.146149
KP.20240221.17400.10,LFCStability10mKstep,True,regular,7.096,266.761,207.023,130.708,170.896,14.239,576.222,556.444,481.366,432.008,60.0,60.0,2024-02-21 04:50:30.113000,60361.20139
KP.20240924.12182.96,autocal-lfc-all-eve,True,regular,-3.764,428.463,310.116,212.764,377.903,-18.321,967.374,971.941,889.211,885.799,60.0,60.023,2024-09-24 03:23:32.971000,60577.141004
KP.20231130.11367.72,autocal-lfc-all-eve,True,regular,-7.62,265.07,204.822,145.317,247.348,-15.293,635.908,657.151,635.401,674.04,60.0,60.0,2023-11-30 03:09:57.734000,60278.131566
KP.20250105.34451.41,autocal-lfc-all-midnight,True,regular,183.898,570.936,382.322,499.858,970.589,354.242,1444.262,1458.181,1364.694,1287.964,60.0,60.0,2025-01-05 09:34:41.418000,60680.398741
KP.20240924.67991.81,autocal-lfc-all-morn,True,regular,7.121,405.689,294.282,202.008,360.297,10.317,911.97,931.782,850.186,842.222,60.0,60.023,2024-09-24 18:53:41.818000,60577.786939
KP.20241011.68202.04,autocal-lfc-all-morn,True,regular,10.866,489.672,345.461,231.654,379.838,21.932,1112.983,1089.982,976.414,898.308,60.0,60.0,2024-10-11 18:57:12.078000,60594.789375
KP.20241011.68310.44,autocal-lfc-all-morn,True,regular,10.833,491.234,344.568,231.75,379.083,22.105,1118.066,1085.601,977.771,897.375,60.0,60.0,2024-10-11 18:59:00.451000,60594.790627
KP.20250707.69328.07,autocal-lfc-all-morn,True,regular,10.404,10.275,10.644,59.681,201.98,16.096,16.511,20.937,176.045,790.556,60.0,60.001,2025-07-07 19:15:58.080000,60863.802406
KP.20241223.12097.84,autocal-lfc-all-eve,True,regular,198.936,501.201,345.901,493.78,1023.323,390.326,1294.022,1323.522,1312.927,1346.556,60.0,60.024,2024-12-23 03:22:07.848000,60667.140021
KP.20241223.12639.90,autocal-lfc-all-eve,True,regular,198.367,632.068,432.507,597.997,1082.434,386.689,1619.9,1655.939,1598.69,1565.908,60.0,60.022,2024-12-23 03:31:09.908000,60667.146296
KP.20241221.12206.08,autocal-lfc-all-eve,True,regular,212.138,523.219,360.275,505.568,1044.201,413.788,1334.993,1373.823,1351.762,1371.966,60.0,60.0,2024-12-21 03:23:56.092000,60665.14127
KP.20241221.68115.96,autocal-lfc-all-morn,True,regular,204.85,554.071,379.216,513.524,1019.448,395.507,1408.253,1451.038,1370.987,1338.486,60.0,60.102,2024-12-21 18:55:46.012000,60665.78838
KP.20241221.68224.60,autocal-lfc-all-morn,True,regular,203.266,556.27,378.722,511.727,1013.784,391.945,1412.995,1458.256,1372.48,1331.495,60.0,60.001,2024-12-21 18:57:34.615000,60665.789638
KP.20241220.67679.68,autocal-lfc-all-morn,True,regular,211.946,503.069,346.656,482.953,1008.969,412.879,1283.33,1330.695,1300.682,1320.762,60.0,60.0,2024-12-20 18:48:29.694000,60664.783329
KP.20240320.33975.47,autocal-lfc-all-midnight,True,regular,3.515,333.841,257.265,171.033,241.172,-9.235,731.922,757.183,699.916,741.136,60.0,60.0,2024-03-20 09:26:45.485000,60389.393234
KP.20251206.11507.88,autocal-lfc-all-eve,True,regular,85.322,246.325,336.521,389.044,463.94,258.402,772.15,1161.272,1701.76,2879.203,20.0,20.021,2025-12-06 03:11:57.889000,61015.133195
KP.20241119.67807.39,autocal-lfc-all-morn,True,regular,202.332,612.621,339.797,406.382,740.628,403.472,1590.51,1310.964,1070.964,967.886,60.0,60.0,2024-11-19 18:50:37.403000,60633.784808
KP.20230919.11207.35,autocal-lfc-all-eve,True,regular,-3.082,168.762,82.328,40.274,37.957,-6.293,412.619,263.575,179.964,118.529,60.0,60.0,2023-09-19 03:07:17.359000,60206.129711
KP.20241214.67683.60,autocal-lfc-all-morn,True,regular,222.301,582.384,400.497,551.809,1065.403,429.564,1490.275,1520.308,1477.549,1454.454,60.0,60.0,2024-12-14 18:48:33.612000,60658.783373
KP.20251226.11917.17,autocal-lfc-all-eve,True,regular,-12.442,262.361,186.328,118.576,129.349,-28.951,831.041,669.354,539.933,885.89,10.0,10.0,2025-12-26 03:18:42.179000,61035.137932
KP.20251226.11975.79,autocal-lfc-all-eve,True,regular,-14.171,263.406,186.177,118.643,129.3,-32.378,840.523,671.462,543.157,891.719,10.0,10.023,2025-12-26 03:19:40.797000,61035.138611
KP.20251226.12034.55,autocal-lfc-all-eve,True,regular,-11.73,262.467,186.956,117.774,128.755,-26.383,836.904,671.013,539.271,887.007,10.0,10.015,2025-12-26 03:20:39.559000,61035.139289
KP.20241212.67908.65,autocal-lfc-all-morn,True,regular,225.791,539.075,373.595,519.174,1006.607,436.108,1375.22,1412.528,1361.955,1338.315,60.0,60.001,2024-12-12 18:52:18.660000,60656.785981
KP.20241212.68342.71,autocal-lfc-all-morn,True,regular,217.272,543.49,373.886,518.718,998.665,421.264,1393.998,1420.502,1361.964,1324.74,60.0,60.0,2024-12-12 18:59:32.719000,60656.791004
KP.20241212.68451.05,autocal-lfc-all-morn,True,regular,213.399,542.832,373.366,517.427,998.242,413.035,1389.72,1418.881,1360.653,1325.684,60.0,60.0,2024-12-12 19:01:21.061000,60656.792255
