ObsID,OBJECT,NOTJUNK,READSPED,SNRCL452,SNRCL548,SNRCL652,SNRCL747,SNRCL852,SNRSC452,SNRSC548,SNRSC652,SNRSC747,SNRSC852,EXPTIME,ELAPSED,DATE-MID,MJD-OBS
KP.20251216.08385.95,autocal-thar-all-eve,True,regular,73.377,119.955,127.884,563.379,346.268,89.535,193.416,212.854,1003.163,529.651,20.0,20.019,2025-12-16 02:19:55.959000,61025.097057
KP.20240213.06318.50,autocal-thar-sky-eve,True,regular,6.04,5.931,7.249,10.136,7.142,9.407,10.044,14.745,29.219,15.631,10.0,10.015,2024-02-13 01:45:23.504000,60353.073128
KP.20231201.05963.81,autocal-thar-sci-eve,True,regular,4.712,4.805,3.506,15.594,6.376,28.053,62.612,70.127,162.478,96.095,10.0,10.015,2023-12-01 01:39:28.822000,60279.069023
KP.20231201.06140.03,autocal-thar-sci-eve,True,regular,4.728,4.779,3.316,16.061,6.331,28.328,61.927,70.333,162.18,98.532,10.0,10.0,2023-12-01 01:42:25.077000,60279.071066
KP.20231028.06430.33,autocal-thar-sky-eve,True,regular,4.861,4.736,3.749,8.67,4.643,9.243,9.137,4.814,25.997,12.308,10.0,10.0,2023-10-28 01:47:15.341000,60245.074426
KP.20230713.05015.46,autocal-thar-sci-eve,True,regular,4.8,4.8,0.8,24.9,8.4,42.3,90.9,96.9,233.7,135.2,10.0,10.0,2023-07-13 01:23:40.465000,60138.058049
KP.20230922.06252.22,autocal-thar-sky-eve,True,regular,4.774,4.675,3.682,8.44,4.658,9.181,9.44,4.775,25.807,12.318,10.0,10.018,2023-09-22 01:44:17.230000,60209.072359
KP.20221220.00556.20,Th_daily_all_extended,,,,,,,,,,,,,2.0,2.0,2022-12-20 00:09:17.306000,59933.006437
KP.20250822.07631.88,autocal-thar-all-eve,True,regular,26.162,43.39,42.659,359.7,128.264,46.86,98.419,100.828,870.393,338.167,20.0,20.017,2025-08-22 02:07:21.884000,60909.088331
KP.20241209.07705.42,autocal-thar-all-eve,True,regular,29.198,48.873,47.929,333.193,139.011,50.044,108.469,108.293,813.374,287.513,20.0,20.0,2024-12-09 02:08:35.430000,60653.08918
KP.20231202.06081.02,autocal-thar-sci-eve,True,regular,5.374,4.959,4.604,15.917,6.763,28.574,63.395,70.489,161.307,96.167,10.0,10.0,2023-12-02 01:41:26.061000,60280.070382
KP.20231028.06993.48,autocal-thar-all-eve,True,regular,9.482,17.154,17.1,52.047,31.062,25.854,57.087,63.721,163.44,94.57,10.0,10.0,2023-10-28 01:56:38.484000,60245.080943
KP.20250822.08111.80,autocal-thar-all-eve,True,regular,26.298,44.154,43.063,356.642,127.961,47.067,100.408,101.725,862.833,337.435,20.0,20.0,2025-08-22 02:15:21.811000,60909.093885
KP.20250822.08180.44,autocal-thar-all-eve,True,regular,25.771,42.342,41.851,345.553,126.413,45.259,97.053,96.395,836.001,309.719,20.0,20.0,2025-08-22 02:16:30.451000,60909.094682
KP.20251215.07711.84,autocal-thar-all-eve,True,regular,46.147,75.714,72.176,486.811,246.017,58.098,120.768,120.238,872.975,334.213,20.0,20.016,2025-12-15 02:08:41.851000,61024.089255
KP.20251023.63692.57,autocal-thar-all-morn,True,regular,28.856,49.632,-133.469,359.29,-119.545,35.856,83.903,-302.787,603.437,-376.591,20.0,20.016,2025-10-23 17:41:42.574000,60971.737182
KP.20250822.08248.91,autocal-thar-all-eve,True,regular,34.662,55.515,56.253,373.807,157.376,62.188,127.632,131.686,900.913,397.667,20.0,20.021,2025-08-22 02:17:38.923000,60909.095473
KP.20251023.63761.18,autocal-thar-all-morn,True,regular,29.639,50.89,-133.996,368.22,-94.013,37.009,86.694,-303.542,616.748,-376.408,20.0,20.0,2025-10-23 17:42:51.189000,60971.737973
KP.20251023.63829.77,autocal-thar-all-morn,True,regular,27.868,48.582,-133.455,358.225,-121.122,35.044,83.421,-302.854,589.677,-376.637,20.0,20.0,2025-10-23 17:43:59.780000,60971.73877
KP.20250822.08487.08,autocal-thar-hk,True,regular,57.052,139.397,224.681,1520.427,1565.211,91.248,324.093,563.668,3409.733,3310.817,120.0,120.0,2025-08-22 02:22:27.093000,60909.09823
KP.20250118.05918.08,autocal-thar-sci-eve,True,regular,13.683,13.689,15.721,47.227,27.08,48.661,103.552,89.609,686.223,255.114,20.0,20.0,2025-01-18 01:38:48.084000,60693.068497
KP.20250512.08184.89,autocal-thar-all-eve,True,regular,25.13,41.463,38.554,350.897,118.538,42.769,92.535,90.474,845.058,278.97,20.0,20.018,2025-05-12 02:16:34.898000,60807.094729
KP.20250512.63911.40,autocal-thar-all-morn,True,regular,28.015,47.042,44.367,346.156,128.743,49.451,103.677,104.171,830.248,294.682,20.0,20.001,2025-05-12 17:45:21.406000,60807.739715
KP.20230712.05518.10,autocal-thar-sky-eve,True,regular,5.2,4.7,2.7,12.6,4.8,9.6,9.2,-0.2,38.0,15.4,10.0,10.0,2023-07-12 01:32:03.110000,60137.063867
KP.20250822.63417.18,autocal-thar-all-morn,True,regular,39.709,64.856,67.715,409.891,193.808,75.644,149.899,159.76,949.148,466.415,20.0,20.0,2025-08-22 17:37:07.190000,60909.733995
KP.20250822.63760.31,autocal-thar-all-morn,True,regular,39.814,63.929,66.397,411.59,195.136,74.412,147.28,156.86,951.65,466.143,20.0,20.0,2025-08-22 17:42:50.321000,60909.737968
